Start Date	12/26/2025
End Date	01/29/2026
Report Type	Apple Music
Storefront Name	Apple Identifier	Membership Type	Quantity	Net Royalty	Net Royalty Total	Currency	ISRC	Item Title	Item Artist	Item Type	Media Type	Vendor Identifier	Offline Indicator	Label/Studio/Network	Grid
AE	538520986	Family Monthly PAID	7	0.01875	0.13125	AED	MXF601200640	Divina TÃº	Carlos MacÃ­as	0	1	MXF601200640	0	Fonarte Latino, S.A. de C.V.	
AE	538521369	Family Monthly PAID	2	0.01875	0.0375	AED	MXF601200642	Amarte AsÃ­	Carlos MacÃ­as	0	1	MXF601200642	0	Fonarte Latino, S.A. de C.V.	
AE	555716421	Family Monthly PAID	5	0.01875	0.09375	AED	MXF601200794	Deg Al Mani	Fadi El Saadi	0	1	MXF601200794	0	Fonarte Latino, S.A. de C.V.	
AE	964544784	Family Monthly PAID	1	0.01875	0.01875	AED	MXF601500065	LlÃ©vame Despacio	Paulina Goto	0	1	MXF601500065	0	Fonarte Latino, S.A. de C.V.	
AE	1275156146	Family Monthly PAID	1	0.01875	0.01875	AED	MXF601700304	Y Sin Embargo (feat. Lisset) [En Vivo]	Carlos MacÃ­as	0	1	MXF601700304	0	Fonarte Latino, S.A. de C.V.	
AE	1507004247	Family Monthly PAID	1	0.01875	0.01875	AED	MXF602000286	Obertura Maromera	Pasatono Orquesta	0	1	MXF602000286	0	Fonarte Latino, S.A. de C.V.	
AE	1712350536	Family Monthly PAID	2	0.01875	0.0375	AED	MXF602300542	Dag Al Mani Mix (Ø¯Ù‚ Ø§Ù„Ù…Ø§Ù†ÙŠ Ù…ÙƒØ³)	Fadi El Saadi	0	1	MXF602300542	0	Fonarte Latino, S.A. de C.V.	
AE	1745169027	Family Monthly PAID	1	0.01875	0.01875	AED	MXF602400189	Al Raqqisa (Ø§Ù„Ø±Ø§Ù‚ØµÙ‡)	Fadi El Saadi	0	1	MXF602400189	0	Fonarte Latino, S.A. de C.V.	
AE	1745169027	Family Monthly PAID	1	0.01875	0.01875	AED	MXF602400189	Al Raqqisa (Ø§Ù„Ø±Ø§Ù‚ØµÙ‡)	Fadi El Saadi	0	1	MXF602400189	1	Fonarte Latino, S.A. de C.V.	
AE	1853110359	Family Monthly PAID	2	0.01875	0.0375	AED	MXF602500326	Entre Mi Amor y Tu Olvido (CorazÃ³n de Trapo)	Carlos MacÃ­as	0	1	MXF602500326	0	Fonarte Latino, S.A. de C.V.	
AE	143894584	Individual Monthly PAID	1	0.03044	0.03044	AED	MXF600600016	Si el Poeta Eres TÃº	Pablo MilanÃ©s	0	1	MXF600600016	0	Fonarte Latino, S.A. de C.V.	
AE	145983047	Individual Monthly PAID	1	0.03044	0.03044	AED	MXF600600428	Hoy Ten Miedo de Mi	Fernando Delgadillo	0	1	MXF600600428	0	Fonarte Latino, S.A. de C.V.	
AE	152417388	Individual Monthly PAID	1	0.03044	0.03044	AED	MXF600601002	Son al Son	Orquesta AragÃ³n	0	1	MXF600601002	0	Fonarte Latino, S.A. de C.V.	
AE	178765272	Individual Monthly PAID	2	0.03044	0.06088	AED	MXF600600009	Como Tu	Amparo Ochoa	0	1	MXF600600009	0	Fonarte Latino, S.A. de C.V.	
AE	180111849	Individual Monthly PAID	1	0.03044	0.03044	AED	MXF600600239	Son de Mayari	Los Folkloristas	0	1	MXF600600239	0	Fonarte Latino, S.A. de C.V.	
AE	187094345	Individual Monthly PAID	1	0.03044	0.03044	AED	MXF600600925	Por Si No Te Vuelvo a Ver	Alejandro Santiago	0	1	MXF600600925	0	Fonarte Latino, S.A. de C.V.	
AE	292661699	Individual Monthly PAID	4	0.03044	0.12176	AED	MXF600800054	DÃ©cimas	Pedro Aznar	0	1	MXF600800054	0	Fonarte Latino, S.A. de C.V.	
AE	342853489	Individual Monthly PAID	1	0.03044	0.03044	AED	MXF600900885	TambiÃ©n los JÃ³venes Envejecen	Liliana Felipe, Jesusa RodrÃ­guez	0	1	MXF600900885	0	Fonarte Latino SA de CV	
AE	342853490	Individual Monthly PAID	3	0.03044	0.09132	AED	MXF600900886	Pero No Te ExtraÃ±o	Liliana Felipe, Jesusa RodrÃ­guez	0	1	MXF600900886	0	Fonarte Latino SA de CV	
AE	513165177	Individual Monthly PAID	1	0.03044	0.03044	AED	MXF601200315	De Beirut a Cosamaloapan	Mauricio Sotelo, Eblen Macari M, Eblen Macari	0	1	MXF601200315	0	Fonarte Latino SA de CV	
AE	555716419	Individual Monthly PAID	3	0.03044	0.09132	AED	MXF601200792	Set El Hosn	Fadi El Saadi	0	1	MXF601200792	0	Fonarte Latino, S.A. de C.V.	
AE	555716421	Individual Monthly PAID	7	0.03044	0.21308	AED	MXF601200794	Deg Al Mani	Fadi El Saadi	0	1	MXF601200794	1	Fonarte Latino, S.A. de C.V.	
AE	555716421	Individual Monthly PAID	23	0.03044	0.70012	AED	MXF601200794	Deg Al Mani	Fadi El Saadi	0	1	MXF601200794	0	Fonarte Latino, S.A. de C.V.	
AE	639766261	Individual Monthly PAID	1	0.03044	0.03044	AED	MXF601300502	SenÌƒora MamaÌ	Alejandra Orozco	0	1	MXF601300502	0	Fonarte Latino, S.A. de C.V.	
AE	1109552168	Individual Monthly PAID	5	0.03044	0.1522	AED	MXF601600183	Amaneceres	Los MÃºsicos de JosÃ©	0	1	MXF601600183	0	Fonarte Latino, S.A. de C.V.	
AE	1357300240	Individual Monthly PAID	2	0.03044	0.06088	AED	MXF601800269	Sway (feat. Daniel Boaventura)	Big Band Jazz de MÃ©xico	0	1	MXF601800269	0	Fonarte Latino, S.A. de C.V.	
